Month,Open,High,Low,Close,Percent Increase/descrease
Feb-07,14124.36,14723.88,12800.91,12938.09,-0.083987522
Mar-07,13013.74,13386.95,12316.1,13072.1,0.004484491
Apr-07,12811.93,14383.72,12425.52,13872.37,0.082769731
May-07,13987.77,14576.37,13554.34,14544.46,0.039798338
Jun-07,14610.28,14683.36,13946.99,14650.51,0.002753541
Jul-07,14685.16,15868.85,14638.88,15550.99,0.058959521
Aug-07,15344.02,15542.4,13779.88,15318.6,-0.001656671
Sep-07,15401.99,17361.47,15323.05,17291.1,0.122653631
Oct-07,17356.99,20238.16,17144.58,19837.99,0.14293953
Nov-07,20130.23,20204.21,18182.83,19363.19,-0.038103887
Dec-07,19547.09,20498.11,18886.4,20286.99,0.037852182
Jan-08,20325.27,21206.77,15332.42,17648.71,-0.13168632
Feb-08,17820.67,18895.34,16457.74,17578.72,-0.013576931
Mar-08,17227.56,17227.56,14677.24,15644.44,-0.091894615
Apr-08,15771.72,17480.74,15297.96,17287.31,0.096095416
May-08,17560.15,17735.7,16196.02,16415.57,-0.065180537
Jun-08,16591.46,16632.72,13405.54,13461.6,-0.188642832
Jul-08,13480.02,15130.09,12514.02,14355.75,0.064965037
Aug-08,14064.26,15579.78,14002.43,14564.53,0.035570304
Sep-08,14412.99,15107.01,12153.55,12860.43,-0.107719495
Oct-08,13006.72,13203.86,7697.39,9788.06,-0.247461312
Nov-08,10209.37,10945.41,8316.39,9092.72,-0.109375015
Dec-08,9162.94,10188.54,8467.43,9647.31,0.052861854
Jan-09,9720.55,10469.72,8631.6,9424.24,-0.030482843
Feb-09,9363.58,9724.87,8619.22,8891.61,-0.050404867
Mar-09,8762.88,10127.09,8047.17,9708.5,0.107912011
Apr-09,9745.77,11492.1,9546.29,11403.25,0.170071734
May-09,11635.24,14930.54,11621.3,14625.25,0.256978799
Jun-09,14746.51,15600.3,14016.95,14493.84,-0.017134224
Jul-09,14506.43,15732.81,13219.99,15670.31,0.080232007
Aug-09,15694.78,16002.46,14684.45,15666.64,-0.001792953
Sep-09,15691.27,17142.52,15356.72,17126.84,0.091488452
Oct-09,17186.2,17493.17,15805.2,15896.28,-0.075055568
Nov-09,15838.63,17290.48,15330.56,16926.22,0.068666924
Dec-09,16947.46,17530.94,16577.78,17464.81,0.030526698
Jan-10,17473.45,17790.33,15982.08,16357.96,-0.063839139
Feb-10,16339.32,16669.25,15651.99,16429.55,0.005522262
Mar-10,16438.45,17793.01,16438.45,17527.77,0.066266588
Apr-10,17555.04,18047.86,17276.8,17558.71,0.000209057
May-10,17536.86,17536.86,15960.15,16944.63,-0.033770584
Jun-10,16942.82,17919.62,16318.39,17700.9,0.044743437
Jul-10,17679.34,18237.56,17395.58,17868.29,0.010687616
Aug-10,17911.31,18475.27,17819.99,17971.12,0.003339231
Sep-10,18027.12,20267.98,18027.12,20069.12,0.113273779
Oct-10,20094.1,20854.55,19768.96,20032.34,-0.003073539
Nov-10,20272.49,21108.64,18954.82,19521.25,-0.037057115
Dec-10,19529.99,20552.03,19074.57,20509.09,0.050133154
Jan-11,20621.61,20664.8,18038.48,18327.76,-0.111235253
Feb-11,18425.18,18690.97,17295.62,17823.4,-0.032660739
Mar-11,17982.28,19575.16,17792.17,19445.22,0.081354533
Apr-11,19463.11,19811.14,18976.19,19135.96,-0.016808722
May-11,19224.05,19253.87,17786.13,18503.28,-0.03749314
Jun-11,18527.12,18873.39,17314.38,18845.87,0.017204509
Jul-11,18974.96,19131.7,18131.86,18197.2,-0.040988756
Aug-11,18352.23,18440.07,15765.53,16676.75,-0.091295717
Sep-11,16963.67,17211.8,15801.01,16453.76,-0.030058944
Oct-11,16255.97,17908.13,15745.43,17705.01,0.089138944
Nov-11,17540.55,17702.26,15478.69,16123.46,-0.080789371
Dec-11,16555.93,17003.71,15135.86,15454.92,-0.066502456
Jan-12,15534.67,17258.97,15358.02,17193.55,0.106785661
Feb-12,17179.64,18523.78,17061.55,17752.68,0.033355763
Mar-12,17714.62,18040.69,16920.61,17404.2,-0.017523379
Apr-12,17429.96,17664.1,17010.16,17318.81,-0.006376951
May-12,17370.93,17432.33,15809.71,16218.53,-0.06634072
Jun-12,16217.48,17448.48,15748.98,17429.98,0.074765007
Jul-12,17438.68,17631.19,16598.48,17236.18,-0.011612117
Aug-12,17244.44,17972.54,17026.97,17429.56,0.010735054
Sep-12,17465.6,18869.94,17250.8,18762.74,0.074268276
Oct-12,18784.64,19137.29,18393.42,18505.38,-0.014866401
Nov-12,18487.9,19372.7,18255.69,19339.9,0.046084196
Dec-12,19342.83,19612.18,19149.03,19426.71,0.004336491
Jan-13,19513.45,20203.66,19508.93,19894.98,0.019552155
Feb-13,19907.21,19966.69,18793.97,18861.54,-0.0525272
Mar-13,18876.68,19754.66,18568.43,18835.77,-0.002167224
Apr-13,18890.81,19622.68,18144.22,19504.18,0.032469227
